Source,Target
González-Lafont À,Lluch JM
González-Lafont À,Herges R
González-Lafont À,Alibés R
González-Lafont À,Busqué F
González-Lafont À,Gorostiza P
González-Lafont À,Hernando J
Moormann W,Langbehn D
Moormann W,Egea D
Moormann W,Lluch JM
Moormann W,Herges R
Moormann W,Alibés R
Moormann W,Busqué F
Moormann W,Gorostiza P
Moormann W,Hernando J
Langbehn D,Egea D
Langbehn D,Lluch JM
Langbehn D,Herges R
Langbehn D,Alibés R
Langbehn D,Busqué F
Langbehn D,Gorostiza P
Langbehn D,Hernando J
Egea D,Lluch JM
Egea D,Herges R
Egea D,Alibés R
Egea D,Busqué F
Egea D,Gorostiza P
Egea D,Hernando J
Lluch JM,Herges R
Lluch JM,Alibés R
Lluch JM,Busqué F
Lluch JM,Gorostiza P
Lluch JM,Hernando J
Herges R,Alibés R
Herges R,Busqué F
Herges R,Gorostiza P
Herges R,Hernando J
Alibés R,Busqué F
Alibés R,Gorostiza P
Alibés R,Hernando J
Busqué F,Gorostiza P
Busqué F,Hernando J
Elkhatib SK,Case AJ
Hook V,Kind T
Hook V,Podvin S
Hook V,Palazoglu M
Hook V,Tran C
Hook V,Toneff T
Hook V,Samra S
Hook V,Lietz C
Hook V,Fiehn O
Kind T,Podvin S
Kind T,Palazoglu M
Kind T,Tran C
Kind T,Toneff T
Kind T,Samra S
Kind T,Lietz C
Kind T,Fiehn O
Podvin S,Palazoglu M
Podvin S,Tran C
Podvin S,Toneff T
Podvin S,Samra S
Podvin S,Lietz C
Podvin S,Fiehn O
Palazoglu M,Tran C
Palazoglu M,Toneff T
Palazoglu M,Samra S
Palazoglu M,Lietz C
Palazoglu M,Fiehn O
Tran C,Toneff T
Tran C,Samra S
Tran C,Lietz C
Tran C,Fiehn O
Toneff T,Samra S
Toneff T,Lietz C
Toneff T,Fiehn O
Samra S,Lietz C
Samra S,Fiehn O
Cao Y,Zhang M
Cao Y,Liu M
Cao Y,Hong Z
Zhang M,Liu M
Zhang M,Hong Z
Werner FM,Coveñas R
Konishi M,Hayakawa Y
Konishi M,Koike K
Wang J,Miao Y
Giannini A,Caretto M
Giannini A,Genazzani AR
Giannini A,Simoncini T
Caretto M,Genazzani AR
Caretto M,Simoncini T
Xu X,Liu L
Xu X,Zhao L
Xu X,Li B
Xu X,Jing X
Xu X,Qu Z
Xu X,Zhu Y
Xu X,Zhang Y
Xu X,Li Z
Xu X,Fisher M
Xu X,Cairns BE
Xu X,Wang L
Liu L,Zhao L
Liu L,Li B
Liu L,Jing X
Liu L,Qu Z
Liu L,Zhu Y
Liu L,Zhang Y
Liu L,Li Z
Liu L,Fisher M
Liu L,Cairns BE
Liu L,Wang L
Zhao L,Li B
Zhao L,Jing X
Zhao L,Qu Z
Zhao L,Zhu Y
Zhao L,Zhang Y
Zhao L,Li Z
Zhao L,Fisher M
Zhao L,Cairns BE
Zhao L,Wang L
Li B,Jing X
Li B,Qu Z
Li B,Zhu Y
Li B,Zhang Y
Li B,Li Z
Li B,Fisher M
Li B,Cairns BE
Li B,Wang L
Jing X,Qu Z
Jing X,Zhu Y
