Source,Target
Hu Y,Zhang W
Zuo LJ,Guo P
Zuo LJ,Yu SY
Zuo LJ,Liu L
Zuo LJ,Jin Z
Zuo LJ,Zhao H
Zuo LJ,Li LX
Zuo LJ,Yu QJ
Zuo LJ,Wang RD
Zuo LJ,Chen SD
Zuo LJ,Chan P
Zuo LJ,Wang XM
Zuo LJ,Zhang W
Guo P,Yu SY
Guo P,Liu L
Guo P,Jin Z
Guo P,Zhao H
Guo P,Li LX
Guo P,Yu QJ
Guo P,Wang RD
Guo P,Chen SD
Guo P,Chan P
Guo P,Wang XM
Guo P,Zhang W
Yu SY,Liu L
Yu SY,Jin Z
Yu SY,Zhao H
Yu SY,Li LX
Yu SY,Yu QJ
Yu SY,Wang RD
Yu SY,Chen SD
Yu SY,Chan P
Yu SY,Wang XM
Yu SY,Zhang W
Liu L,Jin Z
Liu L,Zhao H
Liu L,Li LX
Liu L,Yu QJ
Liu L,Wang RD
Liu L,Chen SD
Liu L,Chan P
Liu L,Wang XM
Liu L,Zhang W
Jin Z,Zhao H
Jin Z,Li LX
Jin Z,Yu QJ
Jin Z,Wang RD
Jin Z,Chen SD
Jin Z,Chan P
Jin Z,Wang XM
Jin Z,Zhang W
Zhao H,Li LX
Zhao H,Yu QJ
Zhao H,Wang RD
Zhao H,Chen SD
Zhao H,Chan P
Zhao H,Wang XM
Zhao H,Zhang W
Li LX,Yu QJ
Li LX,Wang RD
Li LX,Chen SD
Li LX,Chan P
Li LX,Wang XM
Li LX,Zhang W
Yu QJ,Wang RD
Yu QJ,Chen SD
Yu QJ,Chan P
Yu QJ,Wang XM
Yu QJ,Zhang W
Wang RD,Chen SD
Wang RD,Chan P
Wang RD,Wang XM
Wang RD,Zhang W
Chen SD,Chan P
Chen SD,Wang XM
Chen SD,Zhang W
Chan P,Wang XM
Chan P,Zhang W
Gao HL,Yu XJ
Gao HL,Liu KL
Gao HL,Shi XL
Gao HL,Qi J
Gao HL,Chen YM
Gao HL,Zhang Y
Gao HL,Bai J
Gao HL,Yi QY
Gao HL,Feng ZP
Gao HL,Chen WS
Gao HL,Cui W
Gao HL,Liu JJ
Gao HL,Zhu GQ
Gao HL,Kang YM
Yu XJ,Liu KL
Yu XJ,Shi XL
Yu XJ,Qi J
Yu XJ,Chen YM
Yu XJ,Zhang Y
Yu XJ,Bai J
Yu XJ,Yi QY
Yu XJ,Feng ZP
Yu XJ,Chen WS
Yu XJ,Cui W
Yu XJ,Liu JJ
Yu XJ,Zhu GQ
Yu XJ,Kang YM
Liu KL,Shi XL
Liu KL,Qi J
Liu KL,Chen YM
Liu KL,Zhang Y
Liu KL,Bai J
Liu KL,Yi QY
Liu KL,Feng ZP
Liu KL,Chen WS
Liu KL,Cui W
Liu KL,Liu JJ
Liu KL,Zhu GQ
Liu KL,Kang YM
Shi XL,Qi J
Shi XL,Chen YM
Shi XL,Zhang Y
Shi XL,Bai J
Shi XL,Yi QY
Shi XL,Feng ZP
Shi XL,Chen WS
Shi XL,Cui W
Shi XL,Liu JJ
Shi XL,Zhu GQ
Shi XL,Kang YM
Qi J,Chen YM
Qi J,Zhang Y
Qi J,Bai J
Qi J,Yi QY
Qi J,Feng ZP
Qi J,Chen WS
Qi J,Cui W
Qi J,Liu JJ
Qi J,Zhu GQ
Qi J,Kang YM
Chen YM,Zhang Y
Chen YM,Bai J
Chen YM,Yi QY
Chen YM,Feng ZP
Chen YM,Chen WS
Chen YM,Cui W
Chen YM,Liu JJ
Chen YM,Zhu GQ
Chen YM,Kang YM
Zhang Y,Bai J
Zhang Y,Yi QY
Zhang Y,Feng ZP
Zhang Y,Chen WS
Zhang Y,Cui W
Zhang Y,Liu JJ
Zhang Y,Zhu GQ
Zhang Y,Kang YM
Bai J,Yi QY
Bai J,Feng ZP
Bai J,Chen WS
Bai J,Cui W
Bai J,Liu JJ
Bai J,Zhu GQ
Bai J,Kang YM
Yi QY,Feng ZP
Yi QY,Chen WS
Yi QY,Cui W
Yi QY,Liu JJ
Yi QY,Zhu GQ
Yi QY,Kang YM
Feng ZP,Chen WS
Feng ZP,Cui W
Feng ZP,Liu JJ
Feng ZP,Zhu GQ
Feng ZP,Kang YM
Chen WS,Cui W
Chen WS,Liu JJ
Chen WS,Zhu GQ
Chen WS,Kang YM
Cui W,Liu JJ
Cui W,Zhu GQ
Cui W,Kang YM
Liu JJ,Zhu GQ
Liu JJ,Kang YM
Di Tommaso S,Cavallotti C
Di Tommaso S,Malvasi A
Di Tommaso S,Vergara D
Di Tommaso S,Rizzello A
Di Tommaso S,De Nuccio F
Di Tommaso S,Tinelli A
Cavallotti C,Malvasi A
Cavallotti C,Vergara D
Cavallotti C,Rizzello A
Cavallotti C,De Nuccio F
Cavallotti C,Tinelli A
Malvasi A,Vergara D
Malvasi A,Rizzello A
Malvasi A,De Nuccio F
Malvasi A,Tinelli A
Vergara D,Rizzello A
Vergara D,De Nuccio F
Vergara D,Tinelli A
Rizzello A,De Nuccio F
Rizzello A,Tinelli A
Bala M,Gupta V
Bala M,Prasad J
Jongkees BJ,Immink MA
Jongkees BJ,Colzato LS
Liu C,Wang J
Liu C,Xu S
Liu C,An S
Liu C,Tang S
Liu C,He J
Liu C,Liu Y
Liu C,Lee RJ
Liu C,Wang D
Wang J,Xu S
Wang J,An S
Wang J,Tang S
Wang J,He J
Wang J,Liu Y
Wang J,Lee RJ
Wang J,Wang D
Xu S,An S
Xu S,Tang S
Xu S,He J
Xu S,Liu Y
Xu S,Lee RJ
Xu S,Wang D
An S,Tang S
An S,He J
An S,Liu Y
An S,Lee RJ
An S,Wang D
Tang S,He J
Tang S,Liu Y
Tang S,Lee RJ
Tang S,Wang D
He J,Liu Y
He J,Lee RJ
He J,Wang D
Liu Y,Lee RJ
Liu Y,Wang D
Nagai N,Tani H
Nagai N,Suzuki T
Nagai N,Ikai S
Nagai N,Gerretsen P
Nagai N,Mimura M
Nagai N,Uchida H
Tani H,Suzuki T
Tani H,Ikai S
Tani H,Gerretsen P
Tani H,Mimura M
Tani H,Uchida H
Suzuki T,Ikai S
Suzuki T,Gerretsen P
Suzuki T,Mimura M
Suzuki T,Uchida H
Ikai S,Gerretsen P
Ikai S,Mimura M
Ikai S,Uchida H
Gerretsen P,Mimura M
Gerretsen P,Uchida H
Lamotte d'Incamps B,Bhumbra GS
Lamotte d'Incamps B,Foster JD
Lamotte d'Incamps B,Beato M
Lamotte d'Incamps B,Ascher P
Bhumbra GS,Foster JD
Bhumbra GS,Beato M
Bhumbra GS,Ascher P
Foster JD,Beato M
Foster JD,Ascher P
Masliukov PM,Budnik AF
Masliukov PM,Nozdrachev AD
Lewis KT,Maddipati KR
Lewis KT,Naik AR
Lewis KT,Jena BP
Maddipati KR,Naik AR
Maddipati KR,Jena BP
Álvarez-Martos I,Ferapontova EE
Jahan K,Pillai KK
Jahan K,Vohora D
Zuo LJ,Piao YS
Zuo LJ,Li LX
Zuo LJ,Yu SY
Zuo LJ,Guo P
Zuo LJ,Hu Y
Zuo LJ,Lian TH
Zuo LJ,Wang RD
Zuo LJ,Yu QJ
Zuo LJ,Jin Z
Zuo LJ,Wang YJ
Zuo LJ,Wang XM
Zuo LJ,Chan P
Zuo LJ,Chen SD
Zuo LJ,Wang YJ
Zuo LJ,Zhang W
Piao YS,Li LX
Piao YS,Yu SY
Piao YS,Guo P
Piao YS,Hu Y
Piao YS,Lian TH
Piao YS,Wang RD
Piao YS,Yu QJ
Piao YS,Jin Z
Piao YS,Wang YJ
Piao YS,Wang XM
Piao YS,Chan P
Piao YS,Chen SD
Piao YS,Wang YJ
Piao YS,Zhang W
Li LX,Yu SY
Li LX,Guo P
Li LX,Hu Y
Li LX,Lian TH
Li LX,Wang RD
Li LX,Yu QJ
Li LX,Jin Z
Li LX,Wang YJ
Li LX,Wang XM
Li LX,Chan P
Li LX,Chen SD
Li LX,Wang YJ
Li LX,Zhang W
Yu SY,Guo P
Yu SY,Hu Y
Yu SY,Lian TH
Yu SY,Wang RD
Yu SY,Yu QJ
Yu SY,Jin Z
Yu SY,Wang YJ
Yu SY,Wang XM
Yu SY,Chan P
Yu SY,Chen SD
Yu SY,Wang YJ
Yu SY,Zhang W
Guo P,Hu Y
Guo P,Lian TH
Guo P,Wang RD
Guo P,Yu QJ
Guo P,Jin Z
Guo P,Wang YJ
Guo P,Wang XM
Guo P,Chan P
Guo P,Chen SD
Guo P,Wang YJ
Guo P,Zhang W
Hu Y,Lian TH
Hu Y,Wang RD
Hu Y,Yu QJ
Hu Y,Jin Z
Hu Y,Wang YJ
Hu Y,Wang XM
Hu Y,Chan P
Hu Y,Chen SD
Hu Y,Wang YJ
Hu Y,Zhang W
Lian TH,Wang RD
Lian TH,Yu QJ
Lian TH,Jin Z
Lian TH,Wang YJ
Lian TH,Wang XM
Lian TH,Chan P
Lian TH,Chen SD
Lian TH,Wang YJ
Lian TH,Zhang W
Wang RD,Yu QJ
Wang RD,Jin Z
Wang RD,Wang YJ
Wang RD,Wang XM
Wang RD,Chan P
Wang RD,Chen SD
Wang RD,Wang YJ
Wang RD,Zhang W
Yu QJ,Jin Z
Yu QJ,Wang YJ
Yu QJ,Wang XM
Yu QJ,Chan P
Yu QJ,Chen SD
Yu QJ,Wang YJ
Yu QJ,Zhang W
Jin Z,Wang YJ
Jin Z,Wang XM
Jin Z,Chan P
Jin Z,Chen SD
Jin Z,Wang YJ
Jin Z,Zhang W
Wang YJ,Wang XM
Wang YJ,Chan P
Wang YJ,Chen SD
Wang YJ,Wang YJ
Wang YJ,Zhang W
Wang XM,Chan P
Wang XM,Chen SD
Wang XM,Wang YJ
Wang XM,Zhang W
Chan P,Chen SD
Chan P,Wang YJ
Chan P,Zhang W
Chen SD,Wang YJ
Chen SD,Zhang W
Maddukuri N,Zhang Q
Maddukuri N,Zhang N
Maddukuri N,Gong M
Zhang Q,Zhang N
Zhang Q,Gong M
Stragierowicz J,Daragó A
Stragierowicz J,Brzeźnicki S
Stragierowicz J,Kilanowicz A
Daragó A,Brzeźnicki S
Daragó A,Kilanowicz A
Aragon A,Legradi J
Aragon A,Ballesteros-Gómez A
Aragon A,Legler J
Aragon A,van Velzen M
Aragon A,de Boer J
Aragon A,Leonards P
Legradi J,Ballesteros-Gómez A
Legradi J,Legler J
Legradi J,van Velzen M
Legradi J,de Boer J
Legradi J,Leonards P
Ballesteros-Gómez A,Legler J
Ballesteros-Gómez A,van Velzen M
Ballesteros-Gómez A,de Boer J
Ballesteros-Gómez A,Leonards P
Legler J,van Velzen M
Legler J,de Boer J
Legler J,Leonards P
van Velzen M,de Boer J
van Velzen M,Leonards P
Guoping L,Xiang Y
Guoping L,Jianfeng W
Guoping L,Dadong G
Guoping L,Jie H
Guoping L,Wenjun J
Guoping L,Junguo G
Guoping L,Hongsheng B
Xiang Y,Jianfeng W
Xiang Y,Dadong G
Xiang Y,Jie H
Xiang Y,Wenjun J
Xiang Y,Junguo G
Xiang Y,Hongsheng B
Jianfeng W,Dadong G
Jianfeng W,Jie H
Jianfeng W,Wenjun J
Jianfeng W,Junguo G
Jianfeng W,Hongsheng B
Dadong G,Jie H
Dadong G,Wenjun J
Dadong G,Junguo G
Dadong G,Hongsheng B
Jie H,Wenjun J
Jie H,Junguo G
Jie H,Hongsheng B
Wenjun J,Junguo G
Wenjun J,Hongsheng B
Mansour SZ,El-Marakby SM
Mansour SZ,Moawed FSM
Vandenryt T,van Grinsven B
Vandenryt T,Eersels K
Vandenryt T,Cornelis P
Vandenryt T,Kholwadia S
Vandenryt T,Cleij TJ
Vandenryt T,Thoelen R
Vandenryt T,De Ceuninck W
Vandenryt T,Peeters M
Vandenryt T,Wagner P
van Grinsven B,Eersels K
van Grinsven B,Cornelis P
van Grinsven B,Kholwadia S
van Grinsven B,Cleij TJ
van Grinsven B,Thoelen R
van Grinsven B,De Ceuninck W
van Grinsven B,Peeters M
van Grinsven B,Wagner P
Eersels K,Cornelis P
Eersels K,Kholwadia S
Eersels K,Cleij TJ
Eersels K,Thoelen R
Eersels K,De Ceuninck W
Eersels K,Peeters M
Eersels K,Wagner P
Cornelis P,Kholwadia S
Cornelis P,Cleij TJ
Cornelis P,Thoelen R
Cornelis P,De Ceuninck W
Cornelis P,Peeters M
Cornelis P,Wagner P
Kholwadia S,Cleij TJ
Kholwadia S,Thoelen R
Kholwadia S,De Ceuninck W
Kholwadia S,Peeters M
Kholwadia S,Wagner P
Cleij TJ,Thoelen R
Cleij TJ,De Ceuninck W
Cleij TJ,Peeters M
Cleij TJ,Wagner P
Thoelen R,De Ceuninck W
Thoelen R,Peeters M
Thoelen R,Wagner P
De Ceuninck W,Peeters M
De Ceuninck W,Wagner P
Plaingam W,Sangsuthum S
Plaingam W,Angkhasirisap W
Plaingam W,Tencomnao T
Sangsuthum S,Angkhasirisap W
Sangsuthum S,Tencomnao T
Sampaolo S,Liguori G
Sampaolo S,Vittoria A
Sampaolo S,Napolitano F
Sampaolo S,Lombardi L
Sampaolo S,Figols J
Sampaolo S,Melone MAB
Sampaolo S,Esposito T
Sampaolo S,Di Iorio G
Liguori G,Vittoria A
Liguori G,Napolitano F
Liguori G,Lombardi L
Liguori G,Figols J
Liguori G,Melone MAB
Liguori G,Esposito T
Liguori G,Di Iorio G
Vittoria A,Napolitano F
Vittoria A,Lombardi L
Vittoria A,Figols J
Vittoria A,Melone MAB
Vittoria A,Esposito T
Vittoria A,Di Iorio G
Napolitano F,Lombardi L
Napolitano F,Figols J
Napolitano F,Melone MAB
Napolitano F,Esposito T
Napolitano F,Di Iorio G
Lombardi L,Figols J
Lombardi L,Melone MAB
Lombardi L,Esposito T
Lombardi L,Di Iorio G
Figols J,Melone MAB
Figols J,Esposito T
Figols J,Di Iorio G
Melone MAB,Esposito T
Melone MAB,Di Iorio G
Jamwal S,Singh S
Jamwal S,Gill JS
Jamwal S,Kumar P
Singh S,Gill JS
Singh S,Kumar P
Rountree CM,Troy JB
Rountree CM,Saggere L
Li N,Lu Y
Li N,Li S
Li N,Zhang Q
Li N,Wu J
Li N,Jiang J
Li N,Liu GL
Li N,Liu Q
Lu Y,Li S
Lu Y,Zhang Q
Lu Y,Wu J
Lu Y,Jiang J
Lu Y,Liu GL
Lu Y,Liu Q
Li S,Zhang Q
Li S,Wu J
Li S,Jiang J
Li S,Liu GL
Li S,Liu Q
Zhang Q,Wu J
Zhang Q,Jiang J
Zhang Q,Liu GL
Zhang Q,Liu Q
Wu J,Jiang J
Wu J,Liu GL
Wu J,Liu Q
Jiang J,Liu GL
Jiang J,Liu Q
Chruvattil R,Banerjee S
Chruvattil R,Nath S
Chruvattil R,Machhi J
Chruvattil R,Kharkwal G
Chruvattil R,Yadav MR
Chruvattil R,Gupta S
Banerjee S,Nath S
Banerjee S,Machhi J
Banerjee S,Kharkwal G
Banerjee S,Yadav MR
Banerjee S,Gupta S
Nath S,Machhi J
Nath S,Kharkwal G
Nath S,Yadav MR
Nath S,Gupta S
Machhi J,Kharkwal G
Machhi J,Yadav MR
Machhi J,Gupta S
Kharkwal G,Yadav MR
Kharkwal G,Gupta S
Cavalcante GI,Chaves Filho AJ
Cavalcante GI,Linhares MI
Cavalcante GI,de Carvalho Lima CN
Cavalcante GI,Venâncio ET
Cavalcante GI,Rios ER
Cavalcante GI,de Souza FC
Cavalcante GI,Vasconcelos SM
Cavalcante GI,Macêdo D
Cavalcante GI,de França Fonteles MM
Chaves Filho AJ,Linhares MI
Chaves Filho AJ,de Carvalho Lima CN
Chaves Filho AJ,Venâncio ET
Chaves Filho AJ,Rios ER
