"Source","Target"
"Koroleva SV"," Ashmarin IP."
"Gardner CR"," Walker RJ."
"Bauer B"," Ehinger B."
"D'Souza MS"," Markou A."
"Smith DF"," Jakobsen S."
"Ollat H"," Sebban C."
"Ghosh P"," Bhattacharya SK."
"Komáreková I"," Janík M."
"Migály P"," Jakab T."
"Baughman RW"," Gilbert CD."
"Houghton PJ"," Howes MJ."
"Rao A"," Lévi S."
"Blakely RD"," Edwards RH."
"Chen Z"," Skolnick P."
"Priestley JV"," Cuello AC."
"Rangel-Gomez M"," Meeter M."
"Haigler HJ"," Spring DD."
"Burger MM"," Schäfer T."
"Lewicki Z"," Sulikowska A."
"Budelmann BU"," Bonn U."
"Thompson BL"," Stanwood GD."
"Nováková M"," Myslivecek J."
"Martins RA"," Pearson RA."
"Nutt DJ"," Glue P."
"Kozaeva LP"," Korobov NV."
"George CF"," Singh SM."
"Sarbadhikari SN"," Chakrabarty K."
"Zimmerman BG"," Gisslen J."
"Fariello RG"," Garant DS."
"Ferando I"," Mody I."
"Clark JA"," Amara SG."
"Shao Y"," McCarthy KD."
"Milham S"," Stetzer D."
"Lee HK"," Elmslie KS."
"Roerig B"," Feller MB."
"Vanhatalo S"," Soinila S."
"Ohkuma S"," Katsura M."
"Hess GP"," Grewer C."
"De Santis A"," Messenger JB."
"Rorsman P"," Fredholm BB."
"Jones SW"," Friel DD."
"Katz PS"," Lillvis JL."
"van Dijk G"," Thiele TE."
"Owens DF"," Kriegstein AR."
"Sekiya M"," Kikuno M."
"Orrego F"," Villanueva S."
"Heien ML"," Sweedler JV."
"Ungerstedt U"," Hallström A."
"Belokoneva OS"," Zaĭtsev SV."
"Garaventa G"," Pallestrini EA."
"Huang SC"," Korlipara VL."
"Vlcková M"," Schwarz MA."
"Cheng SB"," Lu GQ."
"Hernández-Zamora E"," Poblano A."
"Luppi PH"," Fort P."
"Te Brugge VA"," Orchard I."
"Kato G"," Ban TA."
"Tam SW"," Zaczek R."
"Liu F"," Huang GY."
"Soulairac A"," Lambinet H."
"Li XN"," Huang CT."
"Devadas M"," Morgan I."
"Barton SB"," Cohen IS."
"Descamps M"," Lassalle B."
"Prell GD"," Green JP."
"da Silva GF"," Ming LJ."
"Bonanno G"," Raiteri M."
"L'Espérance PY"," Labib R."
"Wilson RI"," Nicoll RA."
"French AM"," Scott NC."
"Wiedermann CJ"," Spector NH."
"Wu LG"," Saggau P."
"Benoit P"," Peutillot A."
"Shuklin AV"," Shvalev VN."
"Cellar NA"," Kennedy RT."
"Jin W"," Zang D."
"Mothet JP"," Snyder SH."
"Robin LN"," Kalloniatis M."
"Sarkisov DV"," Wang SS."
"Bonkowski L"," Dryden WF."
"Lum CT"," Stahl SM."
"Fredholm BB"," Dunwiddie TV."
"Viemari JC"," Tryba AK."
"Bröer S"," Gether U."
"Rangiah K"," Palakodeti D."
"Paixão S"," Klein R."
"McMahon HT"," Nicholls DG."
"López-Muñoz F"," Alamo C."
"Lovell RA"," Freedman DX."
"Daglish MR"," Nutt DJ."
"Nakib N"," Siegel S."
"Brandt T"," Strupp M."
"Janke W"," Netter P."
"Hodges MR"," Richerson GB."
"Davis RE"," Stretton AO."
"Aikawa H"," Shigeta S."
"Aggestrup S"," Jensen SL."
"Malyshev AIu"," Balaban PM."
"Veiga Fernández F"," Cruz Jentoft AJ."
"Fredrickson P"," Richelson E."
"Crook RB"," Polansky JR."
"Kobayashi M"," Hasimoto T."
"Relja M"," Lackvoić Z."
"Lam DM"," Hollyfield JG."
"Levi G"," Raiteri M."
"Mora F"," Porras A."
"Moucha R"," Kilgard MP."
"Legeza VI"," Markovskaia IV."
"Bowery NG"," Smart TG."
"Chimote KV"," Moghe PJ."
"Drew GM"," Sullivan AT."
"Baldwin HA"," File SE."
"Atta NF"," El-Kady MF."
"Flower G"," Wong-Lin K."
"Rampin O"," Giuliano F."
"Das A"," Chaudhuri SK."
"Burnod Y"," Korn H."
"Gregg TR"," Siegel A."
"Telegdy G"," Schally AV."
"Shah S"," Tear S."
"Braestrup C"," Nielsen M."
